time,price,size,brs,title,link,loc
2016-08-12 11:48:00,3472.0,1187.0,1.0,Stop Looking and Start Living In This Beautiful 1.5 Bed 2 Bath Home,/eby/apa/5729211620.html,eby
2016-08-12 11:48:00,3514.0,1077.0,2.0,2 Bed 2 Bath Sunny Private Large Balcony AUGUST RENT FOR FREE,/eby/apa/5729239129.html,eby
2016-08-12 11:47:00,4575.0,1105.0,2.0,LUXURIOUS TWO BEDROOM TWO BATHROOM IN THE HEART OF DOWNTOWN,/eby/apa/5729238869.html,eby
2016-08-12 11:47:00,4300.0,1886.0,4.0,Be the first person to live in this new Pulte home and walk to Bart,/eby/apa/5718378254.html,eby
2016-08-12 11:46:00,2119.0,869.0,2.0,Renting This 2BR/2BA Apt. Gives Access to a Clubhouse  Pool,/eby/apa/5729211189.html,eby
2016-08-12 11:46:00,3250.0,,2.0,Nice 2 bedroomRecently updated.,/eby/apa/5729236024.html,eby
2016-08-12 11:46:00,2295.0,,2.0,OPEN SUN.AVAIL. SEPT. 1ST Oak. Hills Home w/ Garage Yard  Patio,/eby/apa/5729235738.html,eby
2016-08-12 11:45:00,1494.0,643.0,1.0,Blue Rock Village 1BR/1BA,/eby/apa/5729233871.html,eby
2016-08-12 11:43:00,4795.0,1484.0,3.0,Advent Completely Renovated Single Family home available near Piedmon,/eby/apa/5729230994.html,eby
2016-08-12 11:43:00,1795.0,662.0,1.0,One Bedroom Available now at City View with Specials,/eby/apa/5729202767.html,eby
2016-08-12 11:43:00,2554.0,759.0,1.0,1 Bed 1 Bath Sunny and Large AUGUST RENT FOR FREE,/eby/apa/5729229731.html,eby
2016-08-12 11:42:00,1750.0,,3.0,Unusual situation for reduced rent,/eby/apa/5729228539.html,eby
2016-08-12 11:42:00,3600.0,1580.0,3.0,3 story townhome,/eby/apa/5729228097.html,eby
2016-08-12 11:41:00,1781.0,644.0,1.0,YOU WONT FIND A DEAL LIKE THIS ANYWHERE ELSE,/eby/apa/5729207863.html,eby
2016-08-12 11:41:00,2885.0,864.0,2.0,2 BR Upgraded Apartment Home,/eby/apa/5729225485.html,eby
2016-08-12 11:40:00,2455.0,683.0,1.0,The Perfect Apartment Home Youve Been Searching For,/eby/apa/5729204882.html,eby
2016-08-12 11:39:00,1655.0,1494.0,4.0,Spacious  Renovated Home for your family,/eby/apa/5729019953.html,eby
2016-08-12 11:38:00,2690.0,1100.0,1.0,Large 1 Bedroom in Prime Lakeshore Building,/eby/apa/5729221157.html,eby
2016-08-12 11:38:00,2950.0,804.0,2.0,charming house w/garage  yard,/eby/apa/5729219519.html,eby
2016-08-12 11:37:00,2195.0,1000.0,2.0,Remodeled Townhome  Move in Special. See this Sunday at 12.,/eby/apa/5718287328.html,eby
2016-08-12 11:37:00,1715.0,847.0,2.0,Wonderful 2x1 with Full Size Washer and Dryer Available,/eby/apa/5729202605.html,eby
2016-08-12 11:37:00,2267.0,796.0,1.0,Come Check Out Our 1 Bed 1 Bath Apartments,/eby/apa/5729218019.html,eby
2016-08-12 11:37:00,2899.0,1248.0,3.0,Beautiful house for rent in Union City CA,/eby/apa/5698725797.html,eby
2016-08-12 11:37:00,2095.0,898.0,2.0,2 Bed/2 Bath near Downtown Walnut Creek,/eby/apa/5729217286.html,eby
2016-08-12 11:36:00,1767.0,855.0,2.0,Newly Remodeled 2Bedroom 1Bathroom Apartment Home,/eby/apa/5729196944.html,eby
2016-08-12 11:36:00,2303.0,800.0,2.0,Our Spacious Modern Apartment Offers Style and the Latest Trends,/eby/apa/5729215962.html,eby
2016-08-12 11:36:00,2305.0,,2.0,Our Next 2 BR Wont Last Long 2 Bath Near Pool  Laundry Call Beth,/eby/apa/5729208070.html,eby
2016-08-12 11:36:00,3500.0,1904.0,4.0,AWESOME 4 BEDROOM HOME IN LIVERMORE WITH LOTS OF NICE UPGRADES,/eby/apa/5700763285.html,eby
2016-08-12 11:35:00,2650.0,1180.0,2.0,FABULOUS 2 BEDROOM / 2 BATH TOWNHOME IN LIVERMORE WITH 1 CAR GARAGE,/eby/apa/5719677539.html,eby
2016-08-12 11:35:00,2588.0,900.0,2.0,Looking for a remodeled 2 bed rent special LOOk here,/eby/apa/5729214305.html,eby
2016-08-12 11:35:00,1895.0,979.0,2.0,2 br/1.5 ba 2 STORY CONCORD CONDO,/eby/apa/5712982651.html,eby
2016-08-12 11:34:00,2950.0,1180.0,2.0,2 Bed  2 Bath Special Walk to Bart and Stoneridge Mall Playground,/eby/apa/5729200820.html,eby
2016-08-12 11:34:00,2250.0,,2.0,Spacious 2 Bed / 1 Bath apartment,/eby/apa/5716639355.html,eby
2016-08-12 11:34:00,1455.0,992.0,3.0,ERY CLEAN A tremendous deal on this spacious home in exquisite loctio,/eby/apa/5710027025.html,eby
2016-08-12 11:33:00,3948.0,1052.0,2.0,Beautiful Two Bedroom in Jack London Square,/eby/apa/5729194927.html,eby
2016-08-12 11:33:00,2050.0,,2.0,2 Bed / 1 Bath apartment on E 25th Street,/eby/apa/5716646073.html,eby
2016-08-12 11:33:00,2250.0,,2.0,2 Bed / 1 Bath apartment near Lake Merritt,/eby/apa/5716641754.html,eby
